問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,科目分類,リンクURL
"76歳の女性。義歯の新製を希望して来院した。1年前に下顎部分床義歯を製作し良好に使用していたが、2週前に紛失したという。診察の結果、O'Learyの PCRは8%であり、残存歯の口腔清掃状態は良好であることから、フレームワークを使用した義歯を製作することとした。なお、上顎残存歯歯列は左右第二大臼歯部まで認められ、下顎は歯肉縁から口腔底までの距離が5mmである。初診時の口腔内写真を示す。
義歯の設計で留意すべきなのはどれか。3つ選べ。[119A44-ori]",支台歯は3 ⏉4 5とする。,義歯床の面積を小さくする。,大連結子はリンガルバーとする。,偏心位では臼歯離開咬合とする。,オルタードキャスト法を適用する。,145,部分床義歯学臨床実地,https://drive.google.com/file/d/1SLDnwxtiII-_eWryBg0a5Z3nc-kigonR/view?usp=drive_link
被験歯のPlI（plaque index）の平均値が2.4の患者に対してまず行うのはどれか。1つ選べ。[119A45-ori],SRP,LDDS,PMTC,口腔清掃指導,洗口剤の使用,d,衛生学一般,
"72歳の男性。上顎左側小臼歯部の食片圧入を主訴として来院した。診察の結果、⎿5に従来型グラスアイオノマーセメント修復を行うこととした。初診時の口腔内写真(A)、エックス線画像(B)及び処置の操作過程の写真 (C、D)を示す。
操作過程Dの後に接着性向上を目的として行うのはどれか。1つ選べ。[119A46-ori]",ベベルの付与,NaClOの塗布,ボンディング材の塗布,リン酸エッチング材の塗布,デンティンコンディショナーの塗布,e,保存修復学臨床実地,https://drive.google.com/file/d/1GO5rpke4p3QbmTsp7tVyLR4o-yHXx3yU/view?usp=drive_link
"85歳の女性。上唇の腫脹を主訴として来院した。3か月前に自覚したが疼痛がないためそのままにしていたところ次第に増大しているという。腫脹部は弾性硬で可動性があるが圧痛はない。上下顎の義歯を使用しているが適合は不良である。初 診時の口腔内写真(A)、パノラマエックス線画像(B)、超音波検査像(C)及びMRI脂肪抑制T2強調像(D)を示す。
考えられるのはどれか。1つ選べ。[119A47-ori]",脂肪腫,静脈奇形,多形腺腫,粘液嚢胞,鼻歯槽嚢胞,c,口腔外科学臨床実地,https://drive.google.com/file/d/1sFx0Dx8Tr4pLxvilBhGAB1dLKFz5NjRV/view?usp=drive_link
"78歳の男性。食事に時間がかかることを主訴として来院した。5年前に左側舌癌にて左側頸部郭清術、舌部分切除術を施行した。術後経過は良好であったが、徐々に症状を自覚してきたという。現在の食形態は普通食で液体にとろみはつけていないという。嚥下スクリーニングの結果を表に示す。舌安静位の口腔内写真を示す。
主訴のかいぜんのために製作するのはどれか。1つ選べ。[119A48-ori]",栓塞子,舌接触補助床,軟口蓋挙上装置,オクルーザルランプ,スタビリゼーションアプライアンス,b,全部床義歯学臨床実地,https://drive.google.com/file/d/1eJP1esydYpH3pBU2IAdRwLDiwBaIPejo/view?usp=drive_link
抗菌薬の経口投与と比較した歯周治療におけるLDDSの特徴で正しいのはどれか。2つ選べ。[119A49-ori],投与量が多い。,作用時間が長い。,副作用が少ない。,局所有効濃度が低い。,腸内細菌叢への影響が大きい。,23,歯周病学一般,https://drive.google.com/file/d/1KNpjsBmS1Nr6SrukQTbjmjngehf6LG9B/view?usp=drive_link
"4歳の女児。上顎前歯の変色を主訴として来院した。5か月前に転倒し、上顎左側乳中切歯を強打したという。歯髄電気診に生活反応を示さなかった。初診時の口腔内写真(A)とエックス線画像(B)を示す。
Aに対する適切な対応はどれか。1つ選べ。[119A50-ori]",抜歯,漂白,経過観察,感染根管治療,コンポジットレジン修復,d,小児歯科学臨床実地,https://drive.google.com/file/d/1UfEnzZ85XMPoJinENjGctd5Fj5jTOWhB/view?usp=drive_link
地域保健法に基づく指針において、地域の健康危機管理の拠点はどれか。1つ選べ。[119A51-ori],検疫所,保健所,特定機能病院,医療安全支援センター,地域包括支援センター,b,衛生学一般,
歯内ｰ歯周疾患の鑑別診断に必要な診査項目はどれか。3つ選べ。[119A52-ori],歯の動揺度,瘻孔の有無,歯槽骨吸収の程度,プロービング深さ,歯髄生活反応の有無,345,歯内療法学一般,https://drive.google.com/file/d/1TP99Ohu8m3-TY4ifc8SeDSlkFDyyEoSi/view?usp=drive_link
"11歳の女児の初診時の口腔内写真を示す。
不正咬合の種類はどれか。1つ選べ。[119A53-ori]",過蓋咬合,交叉咬合,相対捻転,鋏状咬合,V字型歯列弓,d,歯科矯正学一般,https://drive.google.com/file/d/1FV6var_VGJCet2GdDCmCMuDBBk0f7EQU/view?usp=drive_link
"下顎右側大臼歯部の顎骨骨髄炎を疑う患者の初診時のエックス線画像(A)と3か月後のエックス線画像(B)を示す。
初診時と比較した3か月後のエックス線画像で新たにみられるのはどれか。1つ選べ。[119A54-ori]",骨硬化,骨膜反応,病的骨折,腐骨分離,歯槽頂部骨吸収,d,口腔外科学一般,https://drive.google.com/file/d/1XUAew3v0ibN55mYA8yLcT3m3c90HFSIX/view?usp=drive_link
口腔カンジダ症のリスク因子はどれか。3つ選べ。[119A55-ori],含嗽,舌ブラシの使用,抗菌薬の長期服用,義歯床用材料の劣化,副腎皮質ステロイド薬の長期服用,345,口腔外科学一般,https://drive.google.com/file/d/1-7o3pv1uCGslEHEeyoU4T75B93HdeUiZ/view?usp=drive_link
"9歳の男児。前歯の噛み合わせが悪いことを主訴として来院した。初診時の顔面写真(A)、口腔内写真(B)及びエックス線画像(C)を示す。セファロ分析の結果を図に示す。
適切な矯正装置はどれか。2つ選べ。[119A56-ori]",咬合挙上板,チンキャップ,リップバンパー,上顎前方牽引装置,スライディングプレート,45,歯科矯正学臨床実地,https://drive.google.com/file/d/1DbHsqQU8a4h1HOM-v5zaMDfiKKJLih1W/view?usp=drive_link
"新生児において、眼瞼裂の下方傾斜、下眼瞼欠損および外耳奇形を認めた。
 この症候群の原因となる部位はどれか。1つ選べ。[119A57-ori]",第一咽頭弓,第二咽頭弓,第三咽頭弓,第四咽頭弓,第五咽頭弓,a,解剖組織学一般,
"ブリッジのフレームワークの写真を示す。
このフレームワークで正しいのはどれか。3つ選べ。[119A58-ori]",焼結して製作する。,切削加工によって製作する。,ろう付けによって連結する。,前装材料としてレジンを使用する。,光学印象データから設計する。,125,冠橋義歯学一般,https://drive.google.com/file/d/108LfeZwByXod1XkQF6T6LtaBrhtZc5vU/view?usp=drive_link
無歯顎者における顎骨の経時的な形態変化が最も少ないのはどれか。1つ選べ。[119A59-ori],口蓋部,上顎前歯部顎堤,上顎臼歯部顎堤,下顎前歯部顎堤,下顎臼歯部顎堤,a,全部床義歯学一般,
"64歳の男性。上顎多数歯欠損による咀嚼困難を主訴として来院した。診察の結果、上顎にインプラント義歯を製作することとした。プロビジョナルレストレー シ ョンを撤去した後 (A)、ある装置を試適時(B)の口腔内写真を示す。
この操作過程で必要なのはどれか。2つ選べ。[119A60-ori]",咬合紙,仮着セメント,バイトワックス,補綴用スクリュー,ダイヤモンドディスク,14,インプラント(補綴)臨床実地,https://drive.google.com/file/d/1B0fid8dPEDk2ciICMRyOQObnRDfbHh5S/view?usp=drive_link
放射線診療従事者で等価線量限度が定められているのはどれか。3つ選べ。[119A61-ori],脳,皮膚,水晶体,唾液腺,妊娠中女性腹部,235,歯科放射線学一般,https://drive.google.com/file/d/1U6MEMSf19F0AkERfD5Un8rL8ZbGLjCaQ/view?usp=drive_link
"肺炎を繰り返す介護療養型医療施設入所高齢者に対する口腔衛生管理の依頼を受けた。喀痰からPorphyromonas gingivalisが検出されたという。
肺炎の分類の組合せとして考えられるのはどれか。1つ選べ。[119A62-ori]",院内肺炎　ー　誤嚥性肺炎,市中肺炎　ー　誤嚥性肺炎,市中肺炎　ー　非定型肺炎,医療・介護関連肺炎　ー　誤嚥性肺炎,医療・介護関連肺炎　ー　非定型肺炎,d,衛生学一般,
"52歳の男性。上顎左側第一小臼歯の一過性冷水痛を主訴として来院した。15年前に近医で処置を受け問題なく経過していたが、1か月前から一過性冷水痛を自覚 するようになったという。歯髄電気診に正常に反応し、プロービング深さは全周3 mm以内である。暫間的間接覆髄法を行うこととした。初診時の口腔内写真(A)、エックス線画像(B)及び処置中の口腔内写真(C)を示す。
暫間修復材で適切なのはどれか。1つ選べ。[119A63-ori]",水硬性セメント,コンポジットレジン,酸化亜鉛ユージノールセメント,ポリカルボキシレートセメント,従来型グラスアイオノマーセメント,e,保存修復学臨床実地,https://drive.google.com/file/d/1skNJuiWkGeHhwf7H4qKt0DYJYn7yxrTv/view?usp=drive_link
活性化されると心筋の収縮力が増大するのはどれか。1つ選べ。[119A64-ori],ホスホジエステラーゼ,β₁アドレナリン受容体,電位依存性K⁺チャネル,M₂アセチルコリン受容体,Na⁺K⁺-ATPase〈Na⁺/K⁺ポンプ〉,b,生理学一般,
"58歳の女性。下顎右側臼歯の審美不良を主訴として来院した。検査の結果、コンポジットレジン修復を行うこととした。初診時(A)及び旧修復物とともに感染歯質の除去後(B)の口腔内写真を示す。
修復にあたり審美性向上のために配慮すべき事項はどれか。1つ選べ。[119A65-ori]",対咬関係,光照射時間延長,ラウンドベベル付与,トータルエッチング実施,デンティンシェードレジン使用,e,保存修復学臨床実地,https://drive.google.com/file/d/1tbyXP1i6B97D5svxhQ3VXHTOGmCQqSZn/view?usp=drive_link
"70歳の女性。上顎義歯が脱離しやすいことを主訴として来院した。1年前に上顎前歯を抜歯し、義歯を修理したという。検査の結果、安静空隙量が6mmであった。下顎左側臼歯部の義歯は使用していない。治療計画として、上顎は義歯修理、下顎は治療用義歯にて治療を行い、その後に上下顎新義歯を製作することとした。 初診時の口腔内写真(A)、使用中の義歯装着時の口腔内写真(B)及び使用中の義歯の写真(C)を示す。
新義歯製作開始までの過程において、上顎義歯の修理で考慮すべきなのはどれか。2つ選べ。[119A66-ori]",水平的顎間関係確認,リラインに軟質材料使用,前歯部咬合を緊密にする,前歯人工歯切縁を半分削除,咬合高径挙上し臼歯部再形成,。,全部床義歯学臨床実地,https://drive.google.com/file/d/1jKuDnyrw0v-gUYXYhT2WicVhqp89L9Sx/view?usp=drive_link
健康増進法で規定されている特別用途食品に含まれるのはどれか。1つ選べ。[119A67-ori],経腸栄養剤,栄養機能食品,栄養補助食品,機能性表示食品,えん下困難者用食品,e,衛生学一般,
口蓋裂患者にみられるのはどれか。2つ選べ。[119A68-ori],巨舌,尖頭,高口蓋,上顎後退,聴力障害,45,口腔外科学一般,https://drive.google.com/file/d/11a5gxAeW-KAkbb2x1zydh96j-Blrg4vx/view?usp=drive_link
"上下顎歯槽基底部の前後的位置関係を確認する方法を図に示す。
評価するのはどれか。1つ選べ。[119A69-ori]",Wits分析値,早期接触有無,歯槽基底弓長径,ヘッドプレートコレクション,プロフィログラム平均との差,a,歯科矯正学一般,https://drive.google.com/file/d/1KFkrTBr13CHT5JcP2iMHCGWDryYq0iIQ/view?usp=drive_link
"68歳の男性。右側舌縁部の疼痛を主訴として来院した。2か月前から同症状を自覚するようになったがそのままにしていたところ、徐々に増悪してきたという。 既往歴に特記事項を認めず、体格は中等度、栄養状態は良好である。画像検査と生検の結果、扁平上皮癌(T2N0M0)と診断し、全身麻酔下に舌部分切除術と人工真皮貼付術を施行した。初診時の口腔内写真を示す。治療計画を表に示す。
治療計画表中の栄養管理のAとBの組合せで正しいのはどれか。1つ選べ。[119A70-ori]",A 経鼻経管栄養　ー　B 静脈栄養,A 経鼻経管栄養　ー　B 経口摂取,A 末梢静脈栄養　ー　B 経口摂取,A 末梢静脈栄養　ー　B 経鼻経管栄養,A 中心静脈栄養　ー　B 経口摂取,b,口腔外科学臨床実地,https://drive.google.com/file/d/1fV-FKKLaq50uofzprhRyfIM6CdWdbjon/view?usp=drive_link
下顎の前歯部叢生のレべリングに適したワイヤーはどれか。3つ選べ。[119A71-ori],ステンレス鋼,チタンニオブ合金,コバルトクロム合金,ニッケルチタン合金,チタンモリブデン合金,245,歯科矯正学一般,https://drive.google.com/file/d/1ILaTZ1UUttMGINbZar-eaWWhOKGYrmJK/view?usp=drive_link
"30歳の女性。下顎左側の歯の欠損による咀嚼困難を主訴として来院した。1年前に外傷のために歯を喪失したという。診察の結果、インプラント義歯を製作することとした。口腔内写真(A)及びパノラマエックス線画像(B)を示す。
診断用テンプレートを製作するためにまず行うのはどれか。1つ選べ。[119A72-ori]",CT検査,印象採得,咬合器装着,シミュレーション,診断用ワックスアップ,b,インプラント(補綴)臨床実地,https://drive.google.com/file/d/1A9lWfQ4VE_53kKb2t2ITLC5RKT7SoBjw/view?usp=drive_link
"73歳の女性。上顎右側犬歯の歯肉の痛みを主訴として来院した。6か月前から同部の歯肉に触れた際に違和感があり、1週前から痛むようになったという。歯根中央部の歯肉に圧痛を認めるが、自発痛と打診痛はなく、歯肉に波動を触知しなかった。初診時の口腔内写真(A)、エックス線画像(B)及び歯科用コーンビームCT(C、D)を示す。歯周組織検査結果の一部を表に示す。
行うべき処置と使用する材料の組合せで正しいのはどれか。1つ選べ。[119A73-ori]",骨穿孔　ー　水酸化カルシウム製剤,意図的再植　ー　接着性レジンセメント,歯根尖切除　ー　強化型酸化亜鉛ユージノールセメント,歯槽骨削除　ー　ハイドロキシアパタイト,吸収部位の掻爬　ー　グラスアイオノマーセメント,e,歯内療法学臨床実地,https://drive.google.com/file/d/1DWWZ7mMMDxOdW7MjVTQOz_YE5HWRrcSz/view?usp=drive_link
"器具の写真を示す。
使用目的はどれか。1つ選べ。[119A74-ori]",咬合圧の測定,最大開口量の測定,下顎前方移動量の測定,矢状切歯路傾斜角の記録,フェイスボウトランスファー,c,全部床義歯学一般,https://drive.google.com/file/d/1Aha_Hnr3ormIfXn-QMnZqgoUKfcpeBEu/view?usp=drive_link
"上顎右側小臼歯部と同側の側頭部に持続性の鈍痛を訴える患者が来院した。診察の結果、歯に異常所見を認めなかった。触診の際に、側頭部を圧迫すると歯痛が増強した。そこで、圧痛点に局所麻酔を施したところ小臼歯部の鈍痛が減弱した。
この歯痛はどれか。1つ選べ。[119A75-ori]",関連痛,歯原性歯痛,心因性疼痛,神経障害性疼痛,特発性（非定型）歯痛,a,歯科麻酔学一般,
"8歳の男児。上顎右側中切歯が生え代わらないことを主訴として来院した。初診時の口腔内写真(A)とエックス線画像(B)を示す。
1‏‎‎⏌の萌出遅延の原因はどれか。1つ選べ。[119A76-ori]",2⏌矮小歯,BA⏌癒合歯,1⏌先天欠如,上唇小帯肥厚,上顎正中埋伏過剰歯,b,小児歯科学臨床実地,https://drive.google.com/file/d/1whw_WCDa4GpKvRncpcHlsHrMmRf7sul6/view?usp=drive_link
"8歳の男児。前歯部の隙間を主訴として来院した。初診時の顔貌写真(A)、口腔内写真(B)、早期接触位の写真(C)、エッ クス線画像(D)及び上顎前歯部の歯科用コーンビームCT(E)を示す。セファロ分析の結果を図に示す。
適切な治療方針はどれか。4つ選べ。[119A77-ori]",過剰歯の抜去,上顎骨の成長促進,上顎中切歯の唇側傾斜,上顎両側側切歯部の開窓,上顎両側第二乳臼歯の抜去,1235,歯科矯正学臨床実地,https://drive.google.com/file/d/1TmXfPq-ol3FHqK-Zn2I3vtT3BrI4Qmhd/view?usp=drive_link
